 Total battles: 161951
 Avg. weight/team: 0.018
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 48.86699% | 147962 | 45.681% | 66797  | 44.096% | 
 | 2    | Urshifu-Rapid-Strike | 48.24972% | 139358 | 43.025% | 69125  | 45.633% | 
 | 3    | Incineroar         | 47.27012% | 147969 | 45.683% | 83264  | 54.967% | 
 | 4    | Raging Bolt        | 41.59129% | 115155 | 35.552% | 47079  | 31.079% | 
 | 5    | Landorus           | 31.06702% | 86858  | 26.816% | 37826  | 24.971% | 
 | 6    | Rillaboom          | 29.17759% | 91702  | 28.312% | 48172  | 31.801% | 
 | 7    | Chien-Pao          | 29.13061% | 67638  | 20.882% | 32050  | 21.158% | 
 | 8    | Ogerpon-Wellspring | 28.28266% | 80655  | 24.901% | 41061  | 27.107% | 
 | 9    | Ogerpon-Hearthflame | 25.56239% | 67638  | 20.882% | 32609  | 21.527% | 
 | 10   | Tornadus           | 23.61355% | 85228  | 26.313% | 28591  | 18.874% | 
 | 11   | Amoonguss          | 22.38833% | 66714  | 20.597% | 32209  | 21.263% | 
 | 12   | Urshifu            | 17.25338% | 43899  | 13.553% | 21942  | 14.485% | 
 | 13   | Farigiraf          | 12.85049% | 57984  | 17.902% | 22455  | 14.824% | 
 | 14   | Gouging Fire       | 12.47260% | 26092  |  8.056% | 10901  |  7.196% | 
 | 15   | Gholdengo          | 11.27850% | 28302  |  8.738% | 11311  |  7.467% | 
 | 16   | Dragonite          | 11.26814% | 28342  |  8.750% | 13692  |  9.039% | 
 | 17   | Indeedee-F         | 10.76931% | 35973  | 11.106% | 18741  | 12.372% | 
 | 18   | Iron Crown         |  8.41426% | 24102  |  7.441% | 12198  |  8.053% | 
 | 19   | Ursaluna           |  8.16027% | 26302  |  8.120% | 14963  |  9.878% | 
 | 20   | Ting-Lu            |  8.01731% | 14492  |  4.474% | 6654   |  4.393% | 
 | 21   | Chi-Yu             |  7.82742% | 26470  |  8.172% | 13324  |  8.796% | 
 | 22   | Porygon2           |  7.60667% | 15812  |  4.882% | 7875   |  5.199% | 
 | 23   | Entei              |  6.28947% | 13222  |  4.082% | 6325   |  4.175% | 
 | 24   | Roaring Moon       |  6.24487% | 12931  |  3.992% | 4661   |  3.077% | 
 | 25   | Dondozo            |  6.09130% | 13820  |  4.267% | 7195   |  4.750% | 
 | 26   | Regidrago          |  5.93640% | 15248  |  4.708% | 6792   |  4.484% | 
 | 27   | Cresselia          |  5.51814% | 10884  |  3.360% | 4768   |  3.148% | 
 | 28   | Glimmora           |  4.79050% | 10178  |  3.142% | 4354   |  2.874% | 
 | 29   | Torkoal            |  4.70299% | 21408  |  6.609% | 12112  |  7.996% | 
 | 30   | Ursaluna-Bloodmoon |  4.49281% | 20740  |  6.403% | 11886  |  7.847% | 
 | 31   | Arcanine-Hisui     |  3.57558% | 13679  |  4.223% | 6695   |  4.420% | 
 | 32   | Sinistcha          |  3.38954% | 6378   |  1.969% | 3018   |  1.992% | 
 | 33   | Zapdos-Galar       |  3.19128% | 5283   |  1.631% | 2137   |  1.411% | 
